170000,F,S*Irminsül Attame',NFO n,23-06-2001,SVERAK LO 173084,171719,170071
170001,F,S*Iron Hill's A Fanyar,PER f 03,06-07-1990,FD LO 64794,179675,178792
170002,F,S*Iron Hill's Mrs Black Alluette,PER n,...,SVERAK LO 74348,,
170003,F,S*Ironwood's Darling Mata Hari,OCI o 24,27-10-2000,SRK LO 23865,122833,170004
170004,F,S*Ironwood's Pretty Woman,OCI b 24,14-12-1998,SVERAK LO 156284,7953,123161
170005,F,S*Ironwood's Tiffany,OCI a 24,...,SVERAK LO 134972,,
170006,M,S*Isala's Andante,NFO ns 09 22,...,SVERAK LO 151614,,
170007,M,S*Isala's Bela,NFO a 09 22,26-06-1999,NRR LO 126726,172333,173758
170008,M,S*Isfolket's Gand,NFO d 09,...,SVERAK RX 81669,169200,19972
170009,F,S*Isfolket's Halkatla,NFO n 09 23,...,SVERAK LO 134356,170011,173187
170010,M,S*Isfolket's Tabris,NFO d 23,...,SVERAK RX 83529,124140,19972
170011,M,S*Isfolket's Tamlin,NFO n 09,...,SVERAK RX 119666,173483,19972
170012,M,S*Isgården's Limerick,NFO n 03 22,08-02-2006,(SE)SVERAK LO 219557,167620,170936
170013,M,"S*Isgården's Rigoletto, DVM, DSM",NFO ns 09 22,08-03-2007,(FIN)SRK LO 76703,167620,173536
170014,F,S*Isgården's Tia Maria,NFO n 24,06-02-2007,(SE)SVERAK LO 230924,170012,173538
170015,M,S*Isgården's Vagabond,NFO n 09 22,...,(SE)SVERAK LO 255992,169858,170014
170016,F,S*Islandia C.F. Peppar,NFO fs,15-01-1992,(S)SVERAK RX 87754,124919,167518
170017,F,S*Islandia C.F. Ronja,NFO fs 09,...,SVERAK LO 87755,124919,167518
170018,M,S*Islandia C.I. Eski,NFO w,13-11-1990,(S)SVERAK RX 85274,141433,167518
170019,M,S*Islandia C.I. Polo,NFO w,...,SVERAK RX 85275,,
170020,F,S*Islandia I.T. Ino,NFO fs 09 23,24-06-1993,FD LO 74875,173617,170021
170021,F,S*Islandia Isla,NFO w,...,SVERAK RX 59264,141433,130600
170022,F,S*Islandia R.G. Zelda,NFO ns 09,29-11-1988,SVERAK RX 80695,127765,141438
170023,F,S*Islandia R.T. Inca,NFO fs 23,...,SVERAK RX 89489,,
170024,M,S*Islandia Zeus,NFO w,...,SVERAK RX 59265,141433,130600
170025,F,S*Isrosen's Morgana,SIB f 09 23,28-08-2006,(S)SVERAK LO 225480,170026,169627
170026,M,S*Isrosen's Sesam,SIB ds 09 22,27-03-2005,(S)SVERAK RX 209210,159794,171600
170027,M,S*Isrosen's Topaz,SIB ny 24,04-07-2007,(SE)SVERAK LO 235558,147660,169627
170028,F,S*Istari's Alexandra,SBI b,...,SVERAK LO 88126,,
170029,F,S*Istari's Anastasia,SBI c,...,SVERAK LO 88125,168921,189782
170030,F,S*Istindra Irmelin VI,NFO gs 22,16-11-2005,FD LO 140545,167638,170393
170031,F,S*Itchy Koo Belle Black,RAG a 03,...,(S)SVERAK LO 250687,170329,170491
170032,F,"S*Itchy Koo Lily Allen, JW",RAG a 03,...,(PL)FPL LO 45130,167411,170031
170033,F,S*ItzyBitzys Ailuros,SBI n 21,26-05-2003,(SE)SVERAK LO 190348,171660,168630
170034,M,S*ItzyBitzys Vanquish,SBI c 21,...,(SE)SVERAK LO 227378,170847,170033
170035,F,S*Ixa's Blomma,NFO ns,25-10-2001,FD LO 114699,171395,171389
170036,M,S*Ixi Dixie's Brownie,EXO n 22,09-09-2005,(S)SVERAK LO 215207,167481,170037
170037,F,S*Ixi Dixie's Heaven Can Wait,EXO n,...,(S)SVERAK LO 199639,170038,17939
170038,M,S*IxiDixi's Black Magic,EXO n,...,(S)SVERAK LO 183946,675,168879
170039,M,S*IxiDixi's Charlie,EXO d 22,07-08-1999,SVERAK LO 158281,172014,170057
170040,F,S*IxiDixi's Colormade4 Obsession,PER d,30-09-2001,FD LO 113253,675,168394
170041,F,S*IxiDixi's Dream Queen,PER w 62,...,(SE)SVERAK LO 162721,,
170042,F,S*IxiDixi's Falling Leaves,PER f,16-11-2001,FD LO 113722,675,170050
170043,F,S*IxiDixi's Fear no More,EXO f 22,06-04-2006,(S)SVERAK LO 221059,170044,170055
170044,M,"S*IxiDixi's Happy Birthday, JW, DSM",EXO n 22,14-11-2004,(S)SVERAK LO 205168,170038,170047
170045,F,S*IxiDixi's Kiara,PER f,28-03-1999,SVERAK LO 156208,168900,170048
170046,M,"S*IxiDixi's Less is More, JW",EXO ns 22 62,04-12-2007,(DK)FD LO 202377,167482,170043
170047,F,S*IxiDixi's Like a Dream,PER w 62,14-11-1999,(S)SVERAK LO 160233,168900,172019
170048,F,S*IxiDixi's Miss Sunshine,PER f 22,01-09-1997,SVERAK LO 146862,140315,169597
170049,F,S*IxiDixi's My Girl,EXO n,...,(S)SVERAK LO 151533,,
170050,F,S*IxiDixi's Piece of Dream,PER w 62,09-08-2000,SVERAK LO 165713,168900,172019
170051,F,S*IxiDixi's Pippi. C.,PER f,26-04-2000,(S)SVERAK LO 163348,168865,170049
170052,F,S*IxiDixi's Right Time,PER d 22,06-07-2000,SVERAK LO 165047,170039,170045
170053,F,S*IxiDixi's Rim'mber Mi,EXO f 22,...,SVERAK LO 144611,,
