191890,M,Winnetou's Mr. Spock,SIA n,18-12-1990,FD LO 61830,192051,191807
191891,M,Winnetou's Mr. Stripe,SIA n 21,29-10-1990,FD LO 61369,191833,17361
191892,M,Winnetou's Mr. Tambourine Man,OSH b,15-07-1998,FD LO 95533,121683,191627
191893,M,Winnetou's Mysti,SIA d,25-07-1997,FD LO 91541,167252,191974
191894,F,Winnetou's Nalini,SIA n,03-01-2009,FD LO 156033,166348,191586
191895,M,Winnetou's Native Dancer,SIA b,11-07-2004,FD LO 129277,192037,78179
191896,F,Winnetou's Naughty Nancy,PER g 03,08-05-1996,FD LO 84730,165785,149672
191897,F,Winnetou's Nela,SIA a,03-01-2009,FD LO 156034,166348,191586
191898,M,Winnetou's Nemo,SIA n,14-10-2001,FD RX 112629,181818,191751
191899,M,Winnetou's Nemo II,SIA n,11-03-2004,FD LO 126882,181818,191751
191900,F,Winnetou's Nerina,EXO f 24,15-10-2005,FD LO 137589,191848,143105
191901,M,Winnetou's Never Say Never,OSH b,22-03-2000,FD RX 14082,121684,191820
191902,M,Winnetou's New Silver Vision,PER as 22 62,10-08-2002,FD LO 117344,143108,158564
191903,M,Winnetou's Nice Guy Eddie,PER a,26-08-1996,FD LO 87311,165785,149672
191904,F,Winnetou's Nice Little Girl,PER a 03 22,18-02-2001,FD LO 108124,159269,158564
191905,M,Winnetou's Nicklas,PER n,24-07-1998,FD LO 96056,89645,142260
191906,M,Winnetou's Nikodemus,SIA b 21,28-12-1994,FD LO 79242,99157,191800
191907,F,Winnetou's Ninette,SIA n,31-03-1991,FD LO 62762,191833,177379
191908,F,Winnetou's No. 1 in your Heart,PER g,26-08-1996,FD LO 87312,165785,149672
191909,M,Winnetou's Nordish Winterstorm,OSH ns 24,07-08-2012,(DK)FD LO 211323,191989,191984
191910,M,Winnetou's Not Just a Rumer,SIA d,04-10-1994,FD LO 77986,177005,167260
191911,F,Winnetou's Nothing Compares2U,PER g 02 62,12-07-2011,(DK)FD LO 205389,192097,191600
191912,F,Winnetou's Nynne,PER g,24-07-1998,FD LO 96060,89645,142260
191913,M,Winnetou's One Mo'Time,PER a 03,05-09-2002,FD LO 117347,191771,191616
191914,M,Winnetou's Online,PER d 03,18-05-2000,FD LO 104788,159269,189640
191915,F,Winnetou's Ophelia,SIA a 21,13-09-1995,FD LO 82659,191637,191865
191916,M,Winnetou's Oskar,SIA a 21,30-12-1994,FD LO 79244,99157,191865
191917,F,Winnetou's Paloma,OSH b,11-07-1998,FD LO 95318,121683,191800
191918,F,Winnetou's Pastel Confetti,PER g,23-01-1999,FD LO 98707,159269,142260
191919,F,Winnetou's Pastel StripesN'Diamond,OSH g 24,22-05-2012,(DK)FD LO 210395,191706,192067
191920,F,Winnetou's Patchwork Doll,SIA f,14-11-1992,FD LO 69606,78182,45927
191921,M,Winnetou's Paulus,EXO e,29-08-2005,FD LO 137044,171744,192092
191922,F,Winnetou's Pearlshine,OSH g 24,21-12-2000,FD RX 14695,191814,123042
191923,F,Winnetou's Penelope,SIA n,21-11-1991,FD LO 65810,17360,177379
191924,F,Winnetou's Pepitamos,OSH c 24,27-03-1996,FD LO 84727,167252,191865
191925,M,Winnetou's Persoasion Blue,OSH a 24,09-09-1993,FD LO 73037,192007,91041
191926,M,Winnetou's Peter Pan,PER a,10-06-1997,FD LO 90160,89645,149672
191927,F,Winnetou's Phoebe,PER g 03,20-04-2001,FD LO 108792,159269,189659
191928,M,Winnetou's Picasso,SIA n,18-12-1990,FD LO 61831,192051,191807
191929,M,Winnetou's Piaars,SIA a,26-08-2001,FD LO 112135,181818,157619
191930,M,Winnetou's Pjece-of-my-heart,PER d 03,18-08-2001,FD LO 111731,191840,191841
191931,M,Winnetou's Powerplay,SIA d,16-10-1995,FD LO 83173,191886,191724
191932,M,Winnetou's Prada or Nada,OSH ns 24,08-04-2011,(DK)FD LO 204092,191989,191679
191933,M,Winnetou's Pride'N Joy,PER a 02 62,07-06-2013,(DK)FD LO 214885,192097,191911
191934,F,Winnetou's Princess Charming,PER f 03,02-04-2000,FD LO 103804,124786,189659
191935,M,Winnetou's Prins Hamlet,SIA n 21,26-05-1995,FD LO 80777,191637,191800
191936,M,Winnetou's Prins Valentin,OSH n,26-05-1995,FD LO 80775,191637,191800
191937,M,Winnetou's Private Collection,SIA b,18-01-2000,FD LO 102831,31925,191957
