166792,F,Royal Brit's Blue Angel of Love,BRI a,...,DRKV 96-10093,15637,166794
166793,M,Royal Brit's Blue Iolo,BRI a,...,DRKV 92-6295,17840,15745
166794,F,Royal Brit's Hope,BRI a,...,DRKV 91-5895,,
166795,M,Royal Canadian Blizzard,RAG a,...,TICA SBT 042297 035,,
166796,F,Royal Coon's Chanel,MCO ns 09,...,LOOF 2007.8447,182309,164747
166797,M,Royal Highness Topolino,PER ns 12,...,DKK 110301-001,,
166798,F,Royal Highness Unique,EXO ns 11,...,DKK 301001-003,,
166799,F,Royal Highness Ypsiline,EXO ns 11,19-04-2003,DKK 190403-003,166797,166798
166800,F,Royal Lace Odette of Parti Wai,PER f 03,09-04-1995,CFA 0149-1008162 V1198,,
166801,M,Royal Lover van Prodanâ,PER a,...,1.DEKZV LO 084289,,
166802,M,Royal Mahlynkee Kabuki,RAG a,01-11-1988,CFA 0476-1064456 V0996,20954,177724
166803,F,Royal Mainly's Everina Jo,MCO fs 22,...,NRKV 99-0131,180669,154948
166804,M,Royal Mainly's Feargal Sharkey (P),MCO ns 22,...,NRKV 99-0180,153956,143622
166805,F,Royal Mainly's Zuléma Cat,MCO ns 23,01-07-2005,FD LO 136882,181950,4663
166806,F,Royal Native Evita,BRI a,...,SVERAK RX 102604,,
166807,M,Royal Native Halvard,BRI a,06-11-1993,NRR LO 109714,147514,161798
166808,F,Royal Princess of Perfect Choice DK,PER f 03,24-07-1997,FD LO 91621,136000,96147
166809,F,Royal Princess of Ragnarok,RAG a 03,20-01-1989,TICA SBT 012089 007,181360,
166810,F,Royal Rosebud á Chardani DK,RAG n 03,07-09-2004,FD RX 129758,143986,132624
166811,M,Royal Row Candyman,PER n 33,19-03-1988,FD LO 53956,144238,166815
166812,M,Royal Row Impulse of Sunval,PER n 33,...,CFA 0172-200479 V0985,185116,16400
166813,M,Royal Row Olympic Oman of Chemante,PER n 33,...,CFA 0172-197714 V0685,,
166814,M,Royal Row Right Stuff,PER n 33,...,CFA 3272-302631 V0188,166813,136919
166815,F,Royal Row Sharah,PER n 33,...,CFA 3273-222316 V0885,185116,160147
166816,F,Royal Row's Georgie Girl of Cacao,PER n 33,...,CFA 0173-003137 V105,,
166817,M,Royal Row's Rikki,PER n 33,...,CFA 0172-007855 V111,,
166818,F,Royal Row's Shelia,PER n 33,...,CFA 3273-421631 V0688,166812,20609
166819,F,Royal Row's Sunny Girl,PER n 33,...,FD LO 53957,166814,166818
166820,F,Royal Secret Hot Fudge Sunde,PER n 33,...,CFA 3273-757164,,
166821,M,Royalbear's Burny,SRS non a 23,...,ÖRCC 0625-Riex,136831,9435
166822,M,Royalbear's Hades,SRS non c,26-07-2003,GP 297/3C192-Riex,166821,1531
166823,F,Royalbear's Isis,BRI a 33,...,(D)GP 297/3F200,,
166824,F,Royalbond Lucy Locket,SIA a,...,GCCF CS 227754,,
166825,M,Royalbond Princewigsy,SIA a,...,GCCF CS 394770,162243,166824
166826,M,Royalbond Sealcavalier,SIA n,16-07-2000,NRR LO 130053,166825,150716
166827,F,Royalbond Sheerelegance,SIA b,...,(NO)NRR LO 130054,,
166828,M,Royalbound Princewigsy,SIA a,...,(GB)GCCF CS 394770,,
166829,M,Royalcoon Brandy Alexander,MCO n 09 22,...,GCCF CS 437885,,
166830,F,Royal-Coon's Little Nikita,MCO n 23,...,1.DEKZV 250019,,
166831,F,Royal-Coon's Nighty,MCO f 23,...,RCC 99868 Bd. III,142158,166830
166832,F,Royal-Delilah von der Alten Weide,BAL c 21,...,XX 1252,,
166833,F,Royale Swan's Ti Nung Cha,KOR,...,CFA 0505-000089 V100,,
166834,F,Royalnefertt Ailuros,MAU ns 24,19-05-2008,FD LO 157678,185279,185280
166835,F,Royalnefertt Her Maujesty,MAU ns 24,16-04-2008,FD RX 157679,185279,156262
166836,F,Royalrebel's Ecstacy,PER ns 11,...,CFA 0133-249396 V0586,,
166837,M,Royalrebel's Gepetto,PER ns 11,...,CFA 0132-305578 V0687,,
166838,M,Royalrebel's Kavalier,PER ns 11,...,CFA 0132-316985,190329,166836
166839,F,Royalrebel's Sah'sha of Ultamint,PER ns 12,...,CFA 0131-425609 V0889,166837,166836
166840,M,Royaltyrags Alex of Purrparadise,RAG a 04,10-06-2000,TICA SBT 061000 009,150269,130319
166841,F,Royaltyrags Belle of Dollhouse,RAG a 03,...,TICA SBT 040300 007,150269,166843
166842,M,Royaltyrags Calayo of Razldazldolls,RAG e 04 21,...,TICA SBT 090302 006,,
166843,F,Royaltyrags Tootsie Roll,RAG a 03,...,TICA SBT 030496 008,144009,143955
166844,F,Royano's Arja,PER n,...,NRR LO 31659,156321,183103
166845,F,Royano's Melody,PER f,...,NRR LO 106938,,
166846,M,Royano's Romeo,PER n 22,...,NRR LO 107135,167658,718
166847,M,Royle De Famosa Legerepi,PER d 22,...,NLKV 88.7307,,
166848,M,Roysterer Catnapper,SIA c,...,GCCF CS 177143,,
166849,F,Roysterer Dominique,SIA b,...,GCCF CS 321818,,
166850,F,Roysterer Empress Nahema,SIA a,...,GCCF CS 126282,,
166851,M,Roysterer Lord Catmando,SIA c,...,GCCF CS 073722,162243,2325
166852,M,Roysterer Oberon,SIA a,...,GCCF CS 160265,,
166853,M,Roysterer Sherekhan,SIA n 21,...,GCCF CS 224267,176082,177003
166854,M,Roysterer Shermesiam,SIA c,...,GCCF CS 259252,166851,181269
166855,M,Roysterer Shermesiam,SIA c,...,GCCF CS 177144,166851,181269
166856,M,Roysterer Snowdragon,SIA c,...,GCCF CS 457821,175187,166849
166857,F,Roysterer Sugar and Spice,SIA h,...,FE.L95.SI.GB.015,175187,181817
166858,F,Roza Kaira Jamalia,SPH w 67,22-03-2012,(DK)FD LO 211780,144790,166875
166859,F,Rozabella of True-Blue Friends,SBI n 21,...,NL.FE.L07.SBI.028.3,12171,5653
166860,F,Rozalinda Czingi-Tura,SIB a,...,(PL)SHKRP RX 1029,144142,11445
166861,M,Rózasaszellõ Szépség Csabi,PER w 62,...,MOE 7307,182990,182989
166862,M,Rozel Puccini,PER ns 12,...,FD 11237,,
166863,F,Rozemarijntje van Mandigo,DRX n 23,...,FE.R87.RD.NL.05,162237,6477
166864,F,Rozeparke Australis,BUR n,...,CFA 1501-1263275 V0300,,
166865,F,Rozintha af Sriwijaya,ABY o,...,FD LO 23386,194111,178621
166866,M,Rozip's Parti Scandal,PER n 01 62,...,CFA 1180-000028 V112,,
166867,F,Rozlynn of Lancarrow,OSH ns 22,31-05-2013,(DK)FD LO 215025,168610,17371
166868,M,Rozmarinus Rosa Glauca,ABY n,...,CPKK 2/84/ABY,147308,175911
166869,M,Rózsaszelló Szépe Edmund,PER ns,13-05-2001,FD LO 116004,166861,174266
166870,M,RS*Panoncoon Que Pasa,MCO n 22,10-02-2010,(DK)FD LO 203140,181526,159462
166871,M,"R'Shen Bay Alwaro*PL, DSM",MCO n 09 22,...,(PL)CSCH LO 94/2/MCO,1596,121989
166872,F,RU*AnArt Yakira,BUR b,...,(RU)ARCCA LO 52136,186696,7741
166873,M,"RU*Bonbon Azur Ebenezer Dorset, Esquire",SBI e,01-09-2007,FD LO 170815,165725,186517
166874,M,RU*Moon Pet Kevin Costner,SPH w,30-07-2007,(DK)FD LO 202289,127967,189840
166875,F,RU*Moon Pet Pifiya,SPH w 66,...,(RU)ARCCA LO 52181,127967,189840
166876,M,RU*Shegumy Neko Rendzo,OSH n,...,(N)NRR LO 156372,6379,190006
166877,F,RU*Talialida Her Majesty Fleur Nue,SPH f 03 32,13-04-2011,(DK)FD RX 208258,142976,188937
166878,F,RU*Zazu Capry Happy Jungle,SYS f 03,...,(RU)ARCCA RX 26885,3614,16889
166879,F,Ruathahold Itsybitsy Spiders Dauter,MCO ns 09 22,21-04-1997,CFA 9737-1140876 V0399,166880,8011
166880,M,Ruathahold's Coon Blackula,MCO n,21-04-1996,CFA 1708-1082039 V0897,192486,166885
166881,M,Ruathaholds Finn,MCO n 09 22,...,CFCA 203153,166884,166883
166882,F,Ruathaholds Lady Lidora,MCO n 22,...,1.DEKZV RX 198752,130889,131782
166883,F,Ruathaholds Lady Mardra,MCO n 23,...,CFA 1745-793105,,
166884,M,Ruathaholds Master Harper,MCO n 09 21,...,CFA 1792-727766,,
166885,F,Ruathahold's Puddythat,MCO n 09,23-10-1994,CFA 1791-968184 V0196,149852,130827
166886,F,Ruaztec Bianka,SPH w 64,...,SPH/95-E5094x,,
166887,F,Ruaztec Blue Dream,SPH a 21,...,CFA 5053-1172295,,
166888,F,Ruaztec Cleopatra,SPH n 22,...,SPH/96-E5506x,,
166889,M,Ruaztec Corsar,DRX n 23,...,LV.CFCA.LO.0254,143863,144941
166890,M,Ruaztec Hyacinth of Africa,SPH a 09 21,...,CFA 5060-1289376,148783,166891
166891,F,Ruaztec Iolanta,SPH w,...,CFA 5091-1172177,,
166892,M,Ruaztec Kary Moysha,SPH d 03,...,CFA 5060-1297949,,
166893,M,Ruaztec Pablo Picasso of Nostalgie,SPH w,...,TICA BOP 010401-026,,
166894,F,Ruaztec Paloma Picasso of Nostalgie,SPH d 09,...,CFA 5061-12979481,,
166895,F,Ruaztek Dolly,SPH x,...,CFA 5061-1289840,,
166896,F,Ruaztek Karina,NFO es 03,...,TICA AOP 040599 067,,
166897,M,Ruaztek Pablo Picasso of Nostalgie,SPH w,...,TICA BOP 010401 026,8196,166896
166898,F,Ruaztek Paloma Picasso,SPH f 03,...,CFA 5061-1297948,148783,166895
166899,M,Rubaiyat Ramar,ABY n,...,CFA 0380-002819 V106,166901,166900
166900,F,Rubaiyat Rose of Hell-Cats,ABY n,...,CFA 0381-002635,,
166901,M,Rubaiyat Simba of Three Crown,ABY n,03-11-1969,CFA 0380-002561,,
166902,M,Rubaiyat Taji of Azima,TUA w 62,...,CFA 1802-067037,,
166903,F,Rubaiyat-Nina von Eisenstein,ABY n,...,1.DEKZV 024597,192292,174230
166904,M,Ruben 02-022,NFO n 09 22,18-05-2002,FD LO 115177,139595,44741
166905,M,Ruben af Kambyses,PER a,29-04-1991,FD LO 63286,133336,121565
166906,M,Rubens Ray-Jackmond DK,PER a 03,08-09-1995,FD LO 82245,139371,54363
166907,M,Rubens von Leerbeck DK,PER e 03,23-05-1992,FD LO 67770,60072,125786
