178399,F,Simsalabim of Magicat DK,BUR d,16-05-1997,FD LO 89889,137715,2927
178400,F,Simsalabim's E'Voila,MCO w 61,02-06-2010,IRCC 100722 Bd. IX,190846,183687
178401,F,Simse Cormath DK,NFO ns 09 22,03-07-2012,(DK)FD LO 211109,43739,150109
178402,F,Simsens 93-39,NFO f 09 23,28-07-1992,FD LO 70418,56001,140936
178403,M,Simson,OSH n,...,SVERAK LO 133177,186449,13655
178404,M,Simson Ben Bendjo,BUR n,...,SVERAK LO 43217,,
178405,M,Simson v.d. Laurentziburg,RUS,...,1.DEKZV 001412,,
178406,M,Simson vom Weidebush,MCO a,...,KVL 98-192-1236-8,,
178407,F,Simsulas Tiffanie,DRX f 22,...,GCCF SRNS 121453,,
178408,F,Simurhu vom Silvan,BUR c,...,1.DEKZV 204684,180762,180761
178409,F,Sina af Ly DK,MCO f 09 22,06-09-2000,FD LO 106266,96800,59281
178410,F,Sina Felis Audax DK,NFO f,27-04-1999,FD LO 99907,120197,16360
178411,F,Sina v. Wahrberg,BRI ns 11,16-06-2000,RCC 00702 RIEX Bd. III,5105,178187
178412,F,Sinah's Jolie Joelle,SBI a 21,...,(AT)ÖVEK-LO-9709900,,
178413,M,Sinah's Viscount Valentino,SBI a,...,(IT)ANFI LO 82149,105703,178412
178414,M,Sina's Checkpoint-Charly,PER w 62,15-06-1996,FD RX 13937,,
178415,M,Sina's Jazzman af Timanfaya DK,PER d,28-02-1997,FD LO 89342,40715,16988
178416,M,Sina's Man of Manhattan,PER d 22,...,MMOE LO 1692,,
178417,M,Sinbad The Sailor Felis Audax DK,NFO ns 03 23,10-10-2004,FD LO 130951,168461,169026
178418,M,Sinbad Vermehr DK,PER ns 22 62,25-10-1999,FD RX 14108,76069,63379
178419,M,Sinbad vom Wiesenredder,SIA b,...,1.DEKZV LO 205028,,
178420,M,Sin-Chiang Korto Blue,SIA a,...,CFA 0276-076951 V0382,,
178421,F,Sin-Chiang Yours Truly of Sianova,SIA n,...,CFA 0273-041954 V182,155913,189018
178422,M,Sinclair van Fair Lady,BRI e,...,FE.L97.BK.007.1,189092,149915
178423,M,Sinclair vum Rousegaard*CH,BRI ns 11,03-06-2009,(CH)FD RX 158234,166319,124425
178424,M,Sindbad,TUA w 61,23-02-1991,FD RX 7516,137714,10564
178425,M,Sindbad d'Inchmahome,TUA a 09 24,...,CPKK 8/94/TUA,176396,149912
178426,M,Sindbad Naryschkina*D,SIA b 21,11-07-2008,FD LO 154998,31035,132699
178427,M,Sindbad Søfareren Felis Jubatus,NFO n 09,06-05-1996,FD LO 84760,411,136712
178428,F,Sindergia Raffia of B-Jay,OSH h 22,...,CFA 2387-1317391,137636,186140
178429,F,Sindy Nice,PER g,...,(RU)ARCCA PER/99-1774,,
178430,F,Sindy v.d. Dallifor,PER ny 11,...,1.DEKZV 065738,140511,20994
178431,F,Sine af Jurian DK,PER g 02 62,06-05-2007,FD LO 152817,19220,135795
178432,M,Sinergia Ballyholly of Korindah,OSH b,02-05-2002,CFA 2316-1404943 V0903,154754,186140
178433,F,Sinfonia von der Soester Boerde,SBI f,...,1.DEKZV 075723,127328,193037
178434,M,Sing Doh Sabai DK,OSH ds 24,28-06-1997,FD RX 12291,107580,111498
178435,M,"Singa Ballad of San-Toi, DM",SIA n,...,CFA 0272-028721 V109,178440,178443
178436,F,Singa Blue Song,SIA a,...,CFA 0277-013433 V109,,
178437,M,Singa Chuli á Chardani DK,RAG c 03 21,08-06-2006,FD LO 141293,178554,190823
178438,F,Singa Concertina,SIA n,...,CFA 0273-119725 V0384,,
178439,F,Singa Dolce,SIA n,...,CFA 0273-042347 V0681,,
178440,M,Singa Maestro,SIA n,...,CFA 0272-007006 V107,,
178441,M,"Singa Mikado of Fan-C, DM",SIA n,...,CFA 0272-029610 V111,184419,178436
178442,F,Singa Seal with a Kiss of Bocat,SIA n,...,CFA 0273-041479 V111,,
178443,F,Singa Soubrette,SIA c,...,CFA 0275-007006 V107,,
178444,M,Singa Summer Song of Chanthara,SIA a,...,CFA 0276-197260 V0485,178445,178438
178445,M,Singa Ty-Son of Thaibok,SIA a,...,CFA 0276-143641 V0883,184420,178439
178446,M,Singin C'est Cheese of Rufescent,ABY p,19-04-1999,CFA 0386-1279333 V0403,178449,178448
178447,F,Singin Chita Rivera,ABY n,04-08-2003,CFA 0361-886080 V1094,,
178448,F,Singin Hey Macarena,ABY n,18-02-1996,CFA 0361-1077871 V0697,185577,178447
178449,M,Singin Hi-Tech Red Neck,ABY o,13-05-1996,CFA 0362-1075760 V1097,119380,154213
178450,F,Singin Solitaire of Rufescent,ABY n,20-05-2003,CFA 0361-1483870 V0106,19371,23688
178451,F,Singing River Nephertiti,ABY n,...,CFA 0381-007793 V111,,
178452,M,Singingpurrs Elvispursley,SIN non n 25 3,...,GCCF CSREF 368637,119093,186262
178453,M,Singingpurrs Ixand,SIN non n 25 3,...,GCCF CSEXP 512404,188106,178454
178454,F,Singingpurrs Secrets Agent,SIN non n 25 3,...,GCCF CSEXP 444514,157040,119094
178455,F,Singingpurrs Shamonix,SIN non n 25 3,...,GCCF CSREF 323305,,
178456,F,Single Dansing Queen,PER g 03,...,CFA 0119-1597872,6887,21907
178457,M,Single Magnum of Rogneda,PER d 03,...,CFA 1110-1661704,16673,178456
178458,M,Single Murano of Color Blues,PER a 03,...,CFA 1106-1577626,,
178459,M,Singsin Sole Mio of The Esmerald Dragon,SPH d 03 32,...,LOOF 2002.1247,166499,159924
178460,F,Singvana af Clipper,PER f,20-11-1986,FD LO 45942,174599,121641
178461,F,Sinh Brimstone Belle,BUR d,...,CCCA COAWA (W) 1596W91,,
178462,F,Sinh Elgena af Silverbäcken,SBI n,...,SVERAK LO 22217,,
178463,F,Sinh Ester af Silverbäcken,SBI n,...,SVERAK LO 12802,,
178464,F,Sinh Estrid af Silverbäcken,SBI n,...,FFF LO 22176,178465,178468
178465,M,Sinh Faffa af Silverbäcken,SBI a,...,SVERAK LO 18214,188018,128235
178466,F,Sinh Frida af Silverbäcken,SBI n,...,SVERAK LO 24935,,
178467,F,Sinh Iwanica af Silverbäcken,SBI n,...,SVERAK LO 28083,,
178468,F,Sinh Jammi af Silverbäcken,SBI n,...,SVERAK LO 18363,119045,178463
178469,M,Sinh Kaigo af Silverbäcken,SBI n,...,SVERAK LO 18790,,
178470,F,Sinh Nanda af Silverbäcken,SBI n,...,SVERAK LO 22861,,
178471,F,Sinh Sable Sulina,BUR n,...,CCCA NSWCFA (N) 118366,,
178472,F,Sinh Tara Come Follow Me,SBI a,...,SVERAK LO 153641,184364,170933
178473,F,Sinh Zecilia af Silverbäcken,SBI n,...,SVERAK LO 24892,178465,178463
178474,F,Sinhchat Candyfloss,SBI c,...,GCCF CSSR 240095,163929,136572
178475,M,Sinhchat Hullabaloo,SBI a,...,NRR LO 119896,182497,178474
178476,M,Sinhchat Tabhunter of Biramor,SBI a 21,13-07-1996,CFA 0082-1234434 V0399,182497,178474
178477,M,Sinh-Franchis de Mun-Ha,SBI n,...,FFF LO 10747,,
178478,F,Sini Anastasia,RUS,...,GCCF NS 051414,,
178479,M,Sini Ivan,RUS,...,GCCF CS 001083,,
178480,F,Sinian Carina del Sol,SOM o,...,NRR LO 60195,178485,154630
178481,F,Sinian Darling Daphne,SOM n,...,SVERAK LO 50792,124681,154630
178482,M,Sinian Dreamboy Dick,SOM n,...,SVERAK LO 50790,124681,154630
178483,M,Sinian Eric Esq,SOM n,...,SVERAK LO 50793,,
178484,M,Sinian One of a Kind,SOM n,...,SVERAK LO 86222,183373,178481
178485,M,Sinian Sun Arrow,SOM o,...,SVERAK RX 40525,155688,174654
178486,F,Sinian Sun Honey,SOM o,...,SVERAK LO 57124,178483,174654
178487,F,Sinime af Fredenslund,ABY o,04-12-1992,FD LO 69964,46382,148758
178488,F,Sininen Uni Felis Audax DK,NFO a 22,10-06-1993,FD LO 71930,123663,124756
178489,F,Sinister van de Sterrendaalders,BRI f,...,NKFV RVT 102.200,131121,122425
178490,F,Sinja de La Val,PER c 33,07-09-1993,FD LO 73509,166687,147307
178491,F,Sinja Majakovskij DK,RUS,04-05-1991,FD LO 62875,76878,3346
178492,M,Sinleo Acey of Lupracan Mus,MAN x n,...,CFA 0608-000381 V109,,
178493,M,Sinleo Paleface Moons of Cedario,MAN x  e 22,...,CFA 0654-000060 V112,,
178494,F,Sinleo Siobhan of Cilgerran,MAN x d 22,...,CFA 0641-058741 V1181,6769,18032
178495,F,Sinleo's Eloise of Shelleo,MAN x n 22,...,CFA 0691-000257 V0981,178496,186695
178496,M,Sinleo's Music Major of Shelleo,MAN x n 22,...,CFA 0644-000272 V110,,
178497,F,SinnerServants Candiss,MCO ns 22,11-07-2003,FD LO 124323,10635,141364
178498,M,Sinope Capricorn,SIA b,...,GCCF CS 293537,133409,178499
178499,F,Sinope Rhea,SIA b,...,GCCF CS 170823,178500,121387
178500,M,Sinope Super Nova,SIA b,...,GCCF NS 320270,,
178501,F,Sin-Sation Selby,SIA n,...,CFA 0273-1183704,,
178502,M,Sin-Sation Selby Jr.,SIA n,...,CFA 0272-1281530,143762,178501
178503,M,Sin-Sation Valentino of Capriole,SIA n,...,CFA 0272-1140776 V0698,134257,160124
178504,F,Sinsianna Bohemian Babe,SIA p 21,...,GCCF CSEXP 402974,,
178505,M,Sinsianna Camelot Knight,SIA p 21,...,GCCF CSEXP 461144,2106,178504
