163734,M,Quaipaw of Starbushway,MCO n 09 22,...,DRV 043579-LH,142074,159951
163735,M,Quake Gyldenløve DK,NFO n 09,01-12-1999,FD LO 102085,108041,125710
163736,M,Quakencats Allskin of Badyr,SPH d 09,12-03-1998,TICA SBT 031298 008,139527,12336
163737,M,Qualibou Gyldenløve DK,NFO n 03 23,31-03-2006,FD LO 139565,6912,109938
163738,F,Qualitas Martina,BUR a,...,GCCF NS 131885,,
163739,F,Qualitas Oczarina,BUR n,...,GCCF NS 149987,,
163740,F,Quamira v. Silvan,BUR n,...,1.DEKZV 198689,,
163741,M,Quamoun v. Brettachtal,PER ns 11,...,1.DEKZV 037122,156867,181355
163742,F,Quamschatka Vaixy v.Dohlenbaum,SIB f 09 23,...,WACC RVDE 01041874,188197,155948
163743,F,Quan Yin's Emerald of Illya,MCO n 09 22,...,CFF 48F2-48819,,
163744,F,Quanah Gyldenløve DK,NFO f 09 23,01-12-1999,FD LO 102082,108041,125710
163745,F,Quanda of Shining Moon,MCO ns 22,...,(D)DEKZV 336093,,
163746,F,Quandary Coons Jaymy,MCO g 22,...,MU.L98.MCO.015.3,184924,175262
163747,F,Quandary Coon's Marinka,MCO ns 09 22,...,MU.L97.MCO.003.2,,
163748,F,Quandary Coons Maroussia,MCO as 22,...,MU.L97.MCO.003.6,,
163749,M,Quandas Rocky Raccoon,PER n 21 33,...,1.DEKZV LO 109358,118651,138908
163750,M,Quandili Q. de Tuatha-De-Danann,BRI ns 11,...,Kat ID: 190545,159950,158904
163751,M,Quandili-Q de Tuatha de Danann,BRI ns 11,...,Kat ID: 319202,,
163752,M,Quando af Clipper,PER n 33,12-03-1999,FD LO 98660,120354,150039
163753,M,Quando v. Labyrinth,PER ns 12,...,1.DEKZV LO 150384,178148,178121
163754,M,Quando v. Wiesenwege,SBI b 21,...,1.DEKZV LO 335481,8466,132858
163755,M,Quando von Gørtz DK,PER ns 12,23-09-1995,FD LO 82925,18572,129590
163756,F,Quanita de Monywa,SBI n,...,FFF LO 9722,,
163757,F,Quanmarra Fifth Avenue,OSH as 24,...,CCCA QFED 24596(S)97,,
163758,M,Quanmarra Genesis of 7th Heaven,OSH cs 24,08-03-2001,CFA 2464-1375026 V0402,177258,163759
163759,F,Quanmarra Ylang Ylang,OSH ns 24,...,CCCA QFED 25565(S)98,140368,163757
163760,F,Quanna van de Marcken,SIA n,24-06-2000,FD LO 105952,159859,189186
163761,F,Quantana Gyldenløve DK,NFO f,01-12-1999,FD LO 102083,108041,125710
163762,M,Quantas af Misapotanien,BML as 11,01-11-2005,FD LO 137473,119352,185934
163763,M,Quantino af Perikles,PER e,13-12-1990,FD LO 61484,138711,132953
163764,M,Quapaw Mukwah de Vicio DK,BRI a 24,24-08-2012,(DK)FD LO 211053,170287,136464
163765,M,Quapaw Samovar,PER e 03,...,GCCF NS 208408,137023,157705
163766,F,Quarierflash Silver Certificate,RUS,...,CFA 0501-402118,,
163767,M,Quark 01-093,NFO n 09,27-05-2001,FD LO 110934,104680,80978
163768,M,Quark 03-105,NFO a 09,12-05-2003,FD LO 126999,99870,95640
163769,M,Quark 08-05,NFO n,02-07-2007,FD LO 149289,52747,32644
163770,M,Quark af Erritsø DK,PER n 22,29-03-1996,FD LO 84624,184288,147863
163771,M,Quark af Sandal DK,NFO n 09,23-02-1991,FD LO 62471,68354,100596
163772,M,Quark af Ølsted,OSH b 24,26-07-1990,FD LO 59753,158307,184029
163773,M,Quark Braun Brimiso,SIA n,20-02-1991,FD LO 62197,136354,135752
163774,M,Quark by Dannevirke,PER w 61,18-10-1990,FD LO 61279,9539,155451
163775,M,Quark Cannabinola,PER e,12-04-1995,FD LO 79823,14450,164799
163776,M,Quark Gyldenløve DK,NFO n 09 23,01-12-1999,FD LO 102084,108041,125710
163777,M,Quark The Nature Cat DK,MCO ns 23,21-01-1996,FD LO 84223,119924,59682
163778,M,Quark von Barkentin DK,PER n,16-05-1998,FD LO 95467,149264,133083
163779,M,Quark von Sivebæk DK,SBI n,05-06-2005,FD LO 134629,153610,7456
163780,F,Quarnetorps Scarlett O'hara,PER f 22,03-12-1994,SVERAK LO 128304,177400,179680
163781,M,Quarteman von Müncheberg,PER ny 11,...,BKK 20349/2000 Bd. B,,
163782,M,Quarterback of Magicat DK,BUR d,02-05-1996,FD LO 84933,137715,26772
163783,M,Quartermaine of Nobaravalley,MCO n,12-12-2008,FD LO 175028,4107,124031
163784,F,Quarterpounder de Precisar,PER f,...,MU.L94.PER.129.1,180132,180155
163785,F,Quartet Thumbelina,PER n 21 33,...,1.DEKZV LO 109359,10099,135286
163786,M,Quartet Total Contrast,PER n 21 33,...,1.DEKZV LO 109360,163749,163785
163787,F,Quartet's Keely Smith of Tajhara,SOM n,26-05-1991,CFA 1381-708159 V1293,183370,145218
163788,M,Quartus von Birkvel DK,SBI n 21,25-07-1992,FD LO 68699,144286,135818
163789,M,Quarz Doucet af Vendsyssel,PER w 61,09-02-1994,FD RX 9444,16285,179099
163790,M,Quarz von Barkentin DK,PER e 33,16-05-1998,FD LO 95468,149264,133083
