3458|M|Alfred 10-79|SBI b|(DK)FD LO 201397
3467|M|Alfred von Fuglelund DK|SBI n|FD LO 81497
3473|M|Alfredo von Candis DK|SBI n 21|FD LO 79567
3483|M|Algonquin 97-81|SBI b|FD LO 91070
3506|F|Alice 12-27|SBI b|(DK)FD LO 210796
3509|F|Alice in Wonderland Song Hio DK|SBI n 21|FD LO 143948
3522|F|Alicia 12-26|SBI b|(DK)FD LO 210795
3591|F|Alis von Lærke DK|SBI a|FD LO 52378
3611|M|Alistair von Candis DK|SBI n 21|FD LO 79568
3632|M|Alko van de Wissewasjes, DM|SBI b|FD LO 78700
3642|F|All Mydream v. Sechseichen|SBI f 21|FD LO 102179
3647|M|Alladin 10-47|SBI a|(DK)FD LO 179613
3650|M|Alladin Sinklair|SBI n|FD LO 22342
3716|F|Allegro 00-160|SBI h 21|FD LO 106464
3728|F|Allie 10-31|SBI b 21|(DK)FD LO 178733
3757|F|Ally 06-096|SBI b|FD LO 145093
3758|F|Ally 08-55|SBI n|FD LO 172141
3759|F|Ally 08-72|SBI a|FD LO 172884
3766|F|Alma 07-38A|SBI n|FD LO 149019
3776|F|Alma von Sivebæk DK|SBI n|FD LO 125868
3817|M|Aloke 07-24A|SBI a|FD LO 148557
4010|M|Alpha Marcanna DK|SBI n 21|FD LO 75353
4085|M|Alvin 11-18|SBI a 21|(DK)FD LO 203839
4086|M|Alvin 12-05|SBI b|(DK)FD LO 208473
4093|M|Alvin von Zobbe DK|SBI a|FD LO 59644
4148|M|Amadeus 00-158|SBI b 21|FD LO 106462
4152|M|Amadeus 06-093|SBI b 21|FD LO 145090
4154|M|Amadeus 07-22A|SBI b|FD LO 148555
4162|M|Amadeus 93-55|SBI a|FD LO 70927
4163|M|Amadeus 94-155|SBI n|FD LO 77718
4164|M|Amadeus 94-169|SBI a|FD LO 78324
4186|M|Amadeus Dinardi DK|SBI a|FD LO 98018
4198|M|Amadeus von Gott DK|SBI a|FD LO 148466
4203|M|Amadeus von Tasi's DK|SBI n|FD LO 108882
4306|F|Amalie 10-80|SBI n|(DK)FD LO 201398
4308|F|Amalie 89-28|SBI a|FD LO 54603
4316|F|Amalie 98-111|SBI a|FD LO 96197
4327|F|Amalie Berggren DK|SBI c|FD LO 100070
4339|F|Amalie Von Vanderbilt DK|SBI f|FD LO 79005
4353|F|Amanda 01-221|SBI a 21|FD LO 113194
4370|F|Amanda 97-17|SBI n|FD LO 89557
4392|F|Amanda Borea Ohion DK|SBI n|FD LO 76730
4405|F|Amanda Kiska DK|SBI f|FD LO 59619
4409|F|Amanda Luna De Kitha-Sinh DK|SBI c|FD LO 72356
4426|F|Amanda von Candis DK|SBI n 21|FD LO 79569
4428|F|Amanda von Lærke DK|SBI n|FD LO 52377
4430|F|Amanda Von Vanderbilt DK|SBI f|FD LO 79004
4465|F|Amarillia vom Blütengarten*A|SBI a 21|FD LO 149886
4507|M|Amaze 08-38|SBI a|FD LO 171046
4508|F|Amazing 09-87|SBI n|FD LO 176982
4517|M|AmazingAstair 07-25|SBI a|FD LO 147907
4588|F|Amelie 02-035|SBI a|FD LO 115404
4598|F|Amena von Sivebæk DK|SBI a|FD LO 85128
4698|M|Amigo 04-04|SBI n|FD LO 126281
4701|M|Amigo 10-48|SBI a|(DK)FD LO 179614
4702|M|Amigo 90-101|SBI a|FD LO 60026
4757|F|Amizzy|SBI a|FD LO 73988
4777|M|Amon Song Hio DK|SBI b|FD LO 121983
4786|M|Amondo 08-84|SBI n|FD LO 173281
4819|M|Amos 04-54|SBI b|FD LO 128823
4825|M|Amos Thaie Bamboo|SBI n 21|FD LO 134350
4859|F|Amy 08-82|SBI a|FD LO 173195
4870|F|Amy Sai-Savart|SBI a|FD LO 149029
4882|F|Anabell 04-072|SBI n|FD LO 129901
