20000,F,Christianias Millie,NFO f,...,NRR RX 51436,126073,193546
20001,F,Christianias Pernille,NFO ns,...,SVERAK RX 40069,,
20002,M,Christiania's Rudolf,NFO n 23,...,NRR RX 51427,20003,21027
20003,M,Christiania's Rufus,NFO as 23,...,NRR RX 50486,21019,193546
20004,F,Christiania's Sabrina,NFO f 23,...,NRR LO 60352,13667,20000
20005,F,Christiania's Sandra,NFO n 09 23,...,NRR LO 61127,,
20006,F,Christiania's Sølvi,NFO ns 09 23,...,SVERAK RX 50524,20003,19999
20007,F,Christiania's Tanja,NFO gs 09 23,...,SVERAK RX 83369,,
20008,F,Christiania's Trulte,NFO n 09,...,SVERAK RX 87200,4792,20005
20009,F,"Christiania's Zara, DM",NFO ns 23,...,SVERAK RX 85564,4792,19999
20010,F,Christie af Quisten DK,PER n,05-07-1993,FD LO 72413,117400,19944
20011,F,Christie Al Kattá,SIA c,...,FD LO 22077,22628,3815
20012,F,Christine Daae' Para Mi,MCO n 23,04-11-2009,(DK)FD LO 178075,42050,146992
20013,F,Christine Rewentlow Felis Jubatus,NFO a 09 23,25-03-2006,FD LO 140117,17089,125375
20014,F,Christine Tanja Amparo Blue DK,RUS,20-07-2006,FD LO 142634,178144,10655
20015,F,Christipaul's Penny-Ante,PER g 03,...,CFA 0119-000289 V0281,,
20016,M,Christmas Alpha of Rahemist(N),SBI n,...,SVERAK LO 81211,,
20017,F,Christmas Rose á Chardani DK,RAG a 03,24-12-2005,FD LO 138580,179195,123539
20018,M,Christoffer af Jurian DK,PER a 03,21-05-2000,FD LO 104683,131082,190085
20019,M,Christoffer af Rolandska DK,PER d,14-05-1993,FD LO 72555,18981,166407
20020,M,Christoffer Alkatress DK,RUS,07-01-1992,FD LO 66209,156225,6436
20021,M,Christoffer Dinardi DK,SBI a,26-11-1998,FD LO 98019,24759,112662
20022,M,Christoffer of Countess DK,MCO n 09 22,25-07-1999,FD LO 101758,54864,52609
20023,F,Christoma's Pinky,MCO g 09 22,06-06-2008,(DK)FD LO 179051,4104,147477
20024,M,Christony Harvi Wallbanger,BRI c 33,...,(GB)GCCF CSSR 375021,,
20025,M,Christoph Mediana,PER ns 12,...,CPKK 82/89/C,181447,119841
20026,F,Christophine d'Oyapoc,SBI f,...,XX 1122,,
20027,F,Christy Anastasia,BRI j 33,...,GCCF CS 309023,,
20028,F,Christy Confetti,BRI g 33,...,GCCF CSEXP 007991,,
20029,M,Christy Firecracker,BRI d 33,...,(GB)GCCF CSSR 132033,,
20030,F,Christy Honeysuckle,BRI c 33,...,GCCF CSSR 112573,151929,13694
20031,M,Christy Imperial,BRI c 33,...,GCCF CSSR 112574,151929,13694
20032,F,Christy Misty Blue,BRI a 33,...,GCCF CSSR 212285,151929,175396
20033,M,Christy Theodore,BRI b 33,...,(D)1.DEKZV 254786,147426,154962
20034,F,Christy's Dorinne,RAG g 21,...,Kat ID: 333710,139481,20036
20035,F,Christy's Dorrinne,RAG g 21,...,(NL)NCT 2005-2123,139481,20036
20036,F,Christy's Dreamteam Angel,RAG a 21,...,(NL)NCT 2001-2439,,
20037,F,Chrysanthema Valevic,SIB ny 23,...,(S)SVERAK RX 166840,,
20038,F,Chryseis v. Delos,SIA b,...,(D)1.DEKZV 118507,,
20039,M,Chrysokoll's Icebear,PER ns 11,...,DKK 290601-001,,
20040,F,Chrystalskye Farbissina of Cozmel,SPH a 03,...,TICA SBT 010006 007,22241,22239
20041,F,Chseb Ulla,SIA b,...,ZFDS LO 0852/94,137492,139136
20042,F,Chuasiri Kustah,TUV f 62,07-04-2001,(S)SVERAK LO 172197,2226,20044
20043,F,Chuasiri Kustah,TUV f 62,07-04-2001,(SE)SVERAK LO 172197,2226,20044
20044,F,Chuasiri Lavantasubat,TUV d 62,...,GCCF CSSR 328850,16309,19355
20045,F,Chuba Chups the Frizzled Frolic,GRX n,...,WCF SCC 99-1170R,2898,4056
20046,M,Chubaka of Sunnyside,PER d 22,...,CFA 0140-074675 V0483,,
20047,F,Chubbies Katie Did,PER f 03,07-05-1999,CFA 0149-1292664 V0500,,
20048,F,Chubbies Skittles of Candirand,PER f 03,...,CFA 1183-1316307 V0801,139170,20108
20049,M,Chubby Bobby Ready 4 the Sun DK,PER n 33,27-09-2004,FD LO 130464,154148,70402
20050,M,Chuchai Lift,KOR,...,(Missing reg.)2-01-2-1-0,,
20051,M,Chuchai Maleza of Maleza,KOR,...,CFA 0504-1492203,20050,
20052,F,Chuchai Taam,KOR,...,(Missing reg.)2-01-2-2-0,,
20053,M,Chu-Ching af Taperije DK,PER n,10-03-1999,FD RX 13460,92026,20054
20054,F,Chu-Chu af Reedtz,PER f 23,12-04-1991,FD RX 7237,19860,155314
20055,F,Chu-Chu Li Cat v. Chorazan,EXO ny 11,13-11-1987,FD LO 56246,159176,127689
20056,F,Chuchu van de Safraenberg,BRI a,...,BC 7858,132883,8284
20057,M,Chuck Alkatress DK,RUS,07-01-1992,FD LO 66208,156225,6436
20058,M,Chuck of Rendale,OCI ns 24,...,CFA 0202-232570 V1185,,
20059,M,Chuck of Tiree DK,BRI a,09-05-1992,FD LO 67713,40390,166669
20060,F,Chuckanut Capuccino,PER n 22,...,CFA 0145-840098 V0593,,
20061,F,Chuckanut Cradle-A-Love of Kikicat,PER as 22 62,19-07-1993,CFA 1335-907118 V0895,126299,20062
