SOURCE	TARGET	LABEL
423	133258	DAM
425	173163	DAM
426	173163	DAM
427	173163	DAM
429	22474	DAM
430	22474	DAM
432	103352	DAM
433	103352	DAM
434	441	DAM
435	441	DAM
436	441	DAM
437	103352	DAM
438	173163	DAM
439	466	DAM
440	466	DAM
441	167571	DAM
442	399	DAM
443	430	DAM
444	430	DAM
445	133258	DAM
446	133258	DAM
447	434	DAM
448	46269	DAM
449	16689	DAM
450	5721	DAM
452	154121	DAM
455	168365	DAM
456	5721	DAM
457	147947	DAM
458	763	DAM
459	1042	DAM
460	146758	DAM
463	174635	DAM
464	164658	DAM
465	167571	DAM
466	167571	DAM
467	167571	DAM
469	468	DAM
470	468	DAM
471	184871	DAM
472	150221	DAM
473	168843	DAM
474	6133	DAM
475	6133	DAM
476	188052	DAM
477	479	DAM
478	117915	DAM
479	8720	DAM
480	20398	DAM
481	17541	DAM
482	189	DAM
485	1340	DAM
486	1092	DAM
488	172663	DAM
489	103397	DAM
490	103397	DAM
491	1095	DAM
493	124876	DAM
495	159639	DAM
497	177000	DAM
498	506	DAM
500	164073	DAM
501	177004	DAM
502	177004	DAM
503	158498	DAM
504	503	DAM
505	175079	DAM
506	503	DAM
507	503	DAM
508	498	DAM
509	139459	DAM
510	185739	DAM
511	185739	DAM
512	127155	DAM
513	167526	DAM
514	173254	DAM
515	127156	DAM
516	515	DAM
517	167726	DAM
519	143051	DAM
520	23195	DAM
521	177000	DAM
522	13560	DAM
523	13561	DAM
524	13561	DAM
525	158623	DAM
526	181695	DAM
527	505	DAM
528	527	DAM
529	8743	DAM
530	154122	DAM
531	529	DAM
532	530	DAM
533	130998	DAM
534	130999	DAM
535	605	DAM
536	130994	DAM
537	1237	DAM
538	130994	DAM
539	130994	DAM
540	130994	DAM
541	130998	DAM
542	131006	DAM
544	157268	DAM
545	157268	DAM
546	131006	DAM
547	605	DAM
548	157268	DAM
549	608	DAM
550	157268	DAM
551	42630	DAM
552	1237	DAM
553	157268	DAM
554	605	DAM
555	605	DAM
556	130994	DAM
557	131006	DAM
558	130998	DAM
559	130994	DAM
560	130994	DAM
561	157268	DAM
562	608	DAM
563	131006	DAM
564	130998	DAM
565	130998	DAM
566	130994	DAM
567	130998	DAM
568	131006	DAM
569	130994	DAM
570	130994	DAM
571	157268	DAM
572	130994	DAM
573	157268	DAM
574	131006	DAM
575	42630	DAM
576	130994	DAM
577	605	DAM
578	42589	DAM
579	157268	DAM
580	157268	DAM
581	130994	DAM
582	130994	DAM
583	130998	DAM
584	607	DAM
585	605	DAM
586	130994	DAM
587	605	DAM
588	131006	DAM
589	607	DAM
590	608	DAM
591	157268	DAM
592	605	DAM
593	130994	DAM
594	605	DAM
595	130994	DAM
596	131006	DAM
597	131006	DAM
598	1237	DAM
599	1237	DAM
600	130994	DAM
601	157268	DAM
602	130994	DAM
603	130994	DAM
604	539	DAM
605	157268	DAM
606	607	DAM
607	597	DAM
608	42589	DAM
609	131006	DAM
610	131006	DAM
611	130998	DAM
612	130994	DAM
613	130998	DAM
615	172222	DAM
616	172223	DAM
618	161806	DAM
619	16222	DAM
620	619	DAM
623	622	DAM
624	159628	DAM
626	159615	DAM
627	4792	DAM
628	4792	DAM
629	175679	DAM
630	175679	DAM
631	173102	DAM
633	630	DAM
634	3112	DAM
635	1365	DAM
636	183161	DAM
638	990	DAM
639	169702	DAM
641	161156	DAM
643	171418	DAM
644	159633	DAM
645	187957	DAM
646	761	DAM
647	103352	DAM
648	168629	DAM
649	134417	DAM
650	140206	DAM
651	172278	DAM
652	1343	DAM
653	185590	DAM
654	127266	DAM
655	993	DAM
656	220	DAM
659	162720	DAM
660	162720	DAM
661	169072	DAM
662	924	DAM
663	170701	DAM
664	124000	DAM
666	171285	DAM
667	178993	DAM
668	667	DAM
669	6255	DAM
670	170658	DAM
672	182981	DAM
674	543	DAM
675	677	DAM
676	180971	DAM
677	141058	DAM
678	141058	DAM
679	180971	DAM
680	130323	DAM
681	129842	DAM
682	677	DAM
683	141058	DAM
684	682	DAM
685	143024	DAM
686	13773	DAM
687	680	DAM
688	134932	DAM
689	134932	DAM
690	682	DAM
691	134932	DAM
692	134932	DAM
693	134932	DAM
695	129842	DAM
697	152000	DAM
699	1259	DAM
700	705	DAM
701	1146	DAM
702	705	DAM
703	168959	DAM
704	1146	DAM
705	1146	DAM
706	1146	DAM
707	1146	DAM
708	942	DAM
709	175235	DAM
710	139	DAM
711	705	DAM
712	1146	DAM
713	699	DAM
714	1146	DAM
716	187025	DAM
717	146567	DAM
718	1268	DAM
719	179216	DAM
720	179251	DAM
722	6745	DAM
723	163863	DAM
724	209	DAM
725	168893	DAM
726	167571	DAM
727	1085	DAM
728	171236	DAM
729	171236	DAM
730	186537	DAM
731	1015	DAM
732	608	DAM
733	130998	DAM
734	608	DAM
736	194286	DAM
737	178590	DAM
738	764	DAM
739	166236	DAM
740	166236	DAM
741	737	DAM
742	812	DAM
744	743	DAM
745	143355	DAM
746	749	DAM
748	40	DAM
749	143353	DAM
750	462	DAM
751	1058	DAM
752	750	DAM
753	751	DAM
754	752	DAM
755	185739	DAM
757	159628	DAM
758	21694	DAM
759	767	DAM
760	759	DAM
763	1141	DAM
764	458	DAM
765	1141	DAM
767	169817	DAM
769	154812	DAM
770	145	DAM
772	145	DAM
774	24936	DAM
775	1095	DAM
777	168756	DAM
778	173119	DAM
779	173119	DAM
780	779	DAM
781	158977	DAM
782	170177	DAM
783	1312	DAM
784	123698	DAM
785	176122	DAM
786	18269	DAM
787	122806	DAM
788	123636	DAM
789	123724	DAM
790	90784	DAM
791	121992	DAM
792	121992	DAM
793	121992	DAM
794	90784	DAM
795	90784	DAM
796	90784	DAM
797	121992	DAM
798	874	DAM
799	874	DAM
800	121992	DAM
801	90784	DAM
802	90784	DAM
803	121992	DAM
804	121992	DAM
805	121992	DAM
806	234	DAM
807	173	DAM
809	134045	DAM
810	1067	DAM
811	839	DAM
812	1378	DAM
813	162925	DAM
814	170956	DAM
815	146450	DAM
816	170962	DAM
817	108	DAM
818	87	DAM
819	817	DAM
820	170962	DAM
821	834	DAM
823	159617	DAM
824	159617	DAM
825	826	DAM
826	18768	DAM
827	163421	DAM
828	942	DAM
829	823	DAM
830	826	DAM
831	828	DAM
832	828	DAM
833	171392	DAM
834	167568	DAM
835	170874	DAM
836	173564	DAM
837	173564	DAM
838	170202	DAM
839	170202	DAM
840	171993	DAM
841	49504	DAM
842	1367	DAM
843	1366	DAM
844	1263	DAM
845	1263	DAM
846	1263	DAM
847	1263	DAM
848	1263	DAM
849	13984	DAM
850	84828	DAM
851	84828	DAM
852	84828	DAM
853	84828	DAM
854	84828	DAM
855	84828	DAM
856	84828	DAM
857	84828	DAM
858	84828	DAM
859	84828	DAM
860	84828	DAM
861	84828	DAM
862	84828	DAM
863	84828	DAM
864	84828	DAM
865	1263	DAM
866	509	DAM
868	13801	DAM
869	10238	DAM
870	178956	DAM
871	456	DAM
872	876	DAM
873	323	DAM
874	119600	DAM
875	966	DAM
876	875	DAM
878	97644	DAM
879	97781	DAM
880	97781	DAM
881	880	DAM
882	1017	DAM
883	122988	DAM
884	122988	DAM
885	927	DAM
886	167725	DAM
887	168909	DAM
888	168909	DAM
889	145655	DAM
890	145655	DAM
891	3112	DAM
892	904	DAM
893	904	DAM
894	170976	DAM
895	894	DAM
896	398	DAM
897	896	DAM
898	896	DAM
899	48526	DAM
900	192904	DAM
901	403	DAM
904	174535	DAM
905	1044	DAM
906	174535	DAM
907	768	DAM
908	907	DAM
909	186998	DAM
910	186998	DAM
911	134417	DAM
912	140206	DAM
913	1217	DAM
914	1217	DAM
915	1217	DAM
916	913	DAM
917	142190	DAM
918	488	DAM
919	171115	DAM
920	171115	DAM
921	909	DAM
923	168258	DAM
924	923	DAM
925	929	DAM
926	141445	DAM
927	141445	DAM
928	931	DAM
929	141445	DAM
930	211	DAM
931	924	DAM
932	931	DAM
933	170993	DAM
934	170993	DAM
935	168584	DAM
936	119213	DAM
937	943	DAM
938	122214	DAM
939	173520	DAM
940	173520	DAM
941	173520	DAM
942	168258	DAM
943	173520	DAM
944	187014	DAM
945	187014	DAM
946	187014	DAM
947	168258	DAM
948	173520	DAM
949	941	DAM
950	159628	DAM
951	159621	DAM
952	163421	DAM
953	173077	DAM
954	159617	DAM
956	1066	DAM
957	1066	DAM
958	170624	DAM
959	141613	DAM
960	170802	DAM
961	170802	DAM
962	168854	DAM
964	143051	DAM
965	519	DAM
966	23197	DAM
967	23197	DAM
968	161310	DAM
969	167571	DAM
970	167571	DAM
972	136287	DAM
973	142320	DAM
974	137110	DAM
975	167738	DAM
977	136287	DAM
978	136287	DAM
979	181436	DAM
980	181436	DAM
981	136287	DAM
982	137110	DAM
983	167738	DAM
985	124381	DAM
986	988	DAM
987	137110	DAM
988	137936	DAM
989	966	DAM
990	169817	DAM
991	171115	DAM
992	172661	DAM
993	169817	DAM
994	169817	DAM
995	169817	DAM
996	169817	DAM
997	183808	DAM
999	183808	DAM
1001	57	DAM
1002	179930	DAM
1003	179930	DAM
1004	181833	DAM
1005	1004	DAM
1006	1004	DAM
1007	1006	DAM
1010	1008	DAM
1012	22474	DAM
1014	169991	DAM
1015	92	DAM
1016	92	DAM
1017	92	DAM
1019	1020	DAM
1020	138623	DAM
1021	138623	DAM
1022	1026	DAM
1023	1027	DAM
1024	1026	DAM
1025	1026	DAM
1026	155195	DAM
1027	1026	DAM
1028	126075	DAM
1029	126075	DAM
1030	426	DAM
1033	425	DAM
1034	425	DAM
1035	762	DAM
1036	426	DAM
1037	23040	DAM
1038	163062	DAM
1039	298	DAM
1041	139994	DAM
1042	938	DAM
1043	938	DAM
1045	173394	DAM
1046	120957	DAM
1047	120957	DAM
1048	120957	DAM
1049	120957	DAM
1050	120957	DAM
1051	120957	DAM
1052	233	DAM
1053	233	DAM
1054	21206	DAM
1055	21206	DAM
1056	22174	DAM
1058	21206	DAM
1059	126065	DAM
1060	1058	DAM
1061	112	DAM
1062	130560	DAM
1063	184878	DAM
1064	184897	DAM
1065	184867	DAM
1066	179900	DAM
1067	134045	DAM
1068	938	DAM
1069	938	DAM
1070	938	DAM
1071	155195	DAM
1072	159615	DAM
1073	128258	DAM
1075	165656	DAM
1076	1287	DAM
1077	1078	DAM
1078	164073	DAM
1079	222	DAM
1081	42630	DAM
1082	167589	DAM
1083	167589	DAM
1084	10945	DAM
1086	1438	DAM
1087	155195	DAM
1088	185441	DAM
1089	185441	DAM
1092	167589	DAM
1093	775	DAM
1095	167589	DAM
1096	1083	DAM
1098	167846	DAM
1099	122915	DAM
1100	158421	DAM
1101	167733	DAM
1103	13806	DAM
1104	13806	DAM
1108	181487	DAM
1110	168287	DAM
1111	133420	DAM
1112	160	DAM
1115	258	DAM
1116	168940	DAM
1117	168940	DAM
1118	1189	DAM
1119	167963	DAM
1120	18739	DAM
1121	146755	DAM
1122	966	DAM
1123	166826	DAM
1124	170781	DAM
1125	1124	DAM
1126	69	DAM
1127	1384	DAM
1128	1037	DAM
1129	173564	DAM
1130	904	DAM
1131	904	DAM
1133	1138	DAM
1134	133150	DAM
1135	1134	DAM
1136	835	DAM
1137	835	DAM
1138	109085	DAM
1139	170207	DAM
1140	109085	DAM
1141	186585	DAM
1142	24433	DAM
1143	10945	DAM
1144	176439	DAM
1145	129	DAM
1146	942	DAM
1147	129	DAM
1148	129	DAM
1149	175231	DAM
1150	186462	DAM
1151	170197	DAM
1152	9065	DAM
1153	137067	DAM
1154	9065	DAM
1155	171235	DAM
1156	171235	DAM
1157	169782	DAM
1158	171701	DAM
1159	173641	DAM
1160	162424	DAM
1161	173641	DAM
1162	162424	DAM
1163	1216	DAM
1164	1163	DAM
1165	181021	DAM
1167	179962	DAM
1168	179962	DAM
1169	179962	DAM
1170	179962	DAM
1171	186317	DAM
1172	186317	DAM
1173	181378	DAM
1174	179962	DAM
1175	181373	DAM
1176	181373	DAM
1177	181373	DAM
1178	181373	DAM
1179	457	DAM
1180	181373	DAM
1181	1584	DAM
1182	179962	DAM
1183	179962	DAM
1184	179962	DAM
1185	179962	DAM
1186	13740	DAM
1187	13740	DAM
1188	1197	DAM
1189	181378	DAM
1190	167685	DAM
1191	167685	DAM
1192	695	DAM
1193	179962	DAM
1194	6891	DAM
1195	1188	DAM
1196	6891	DAM
1197	457	DAM
1198	184155	DAM
1199	186317	DAM
1200	1262	DAM
1201	135173	DAM
1202	179962	DAM
1203	184155	DAM
1205	122214	DAM
1206	122214	DAM
1207	122214	DAM
1208	124919	DAM
1209	122214	DAM
1212	1215	DAM
1213	159621	DAM
1214	172039	DAM
1215	170885	DAM
1216	170782	DAM
1217	155195	DAM
