1	194034	SIRE
2	194074	SIRE
3	194074	SIRE
4	194074	SIRE
5	1326	SIRE
6	1326	SIRE
7	1326	SIRE
8	1326	SIRE
9	1326	SIRE
10	194074	SIRE
11	1326	SIRE
12	13428	SIRE
13	61402	SIRE
14	61402	SIRE
15	132845	SIRE
16	136028	SIRE
18	134496	SIRE
19	154976	SIRE
21	173717	SIRE
22	167918	SIRE
24	191238	SIRE
25	24	SIRE
26	27	SIRE
28	29	SIRE
29	31	SIRE
30	172850	SIRE
31	140514	SIRE
32	545	SIRE
33	545	SIRE
34	545	SIRE
35	545	SIRE
36	545	SIRE
37	545	SIRE
38	545	SIRE
40	39	SIRE
42	169723	SIRE
43	167935	SIRE
44	175189	SIRE
45	135045	SIRE
46	135045	SIRE
47	727	SIRE
48	1154	SIRE
49	168804	SIRE
50	168804	SIRE
51	49	SIRE
54	10563	SIRE
55	10563	SIRE
56	152031	SIRE
57	194284	SIRE
58	194284	SIRE
61	24081	SIRE
62	24081	SIRE
64	60	SIRE
65	59	SIRE
66	172959	SIRE
67	172959	SIRE
68	172959	SIRE
69	13804	SIRE
70	13804	SIRE
71	157149	SIRE
72	1243	SIRE
74	169557	SIRE
75	98	SIRE
76	169557	SIRE
77	169557	SIRE
81	139246	SIRE
82	169557	SIRE
83	15580	SIRE
84	139246	SIRE
85	139246	SIRE
86	139310	SIRE
87	81	SIRE
88	104	SIRE
89	103	SIRE
90	169557	SIRE
91	104	SIRE
92	169557	SIRE
94	139246	SIRE
95	81	SIRE
96	90	SIRE
98	169557	SIRE
99	169557	SIRE
100	169557	SIRE
101	15580	SIRE
102	98	SIRE
103	90	SIRE
104	77	SIRE
105	82	SIRE
106	94	SIRE
107	169557	SIRE
108	93	SIRE
109	959	SIRE
110	959	SIRE
111	15580	SIRE
112	16911	SIRE
113	143062	SIRE
114	143062	SIRE
115	143062	SIRE
116	150862	SIRE
117	1072	SIRE
118	1072	SIRE
119	1072	SIRE
120	16978	SIRE
121	16978	SIRE
122	121	SIRE
124	16911	SIRE
127	1010	SIRE
128	172647	SIRE
129	175318	SIRE
130	175318	SIRE
131	175318	SIRE
133	142502	SIRE
134	167414	SIRE
135	175026	SIRE
136	2860	SIRE
137	9056	SIRE
139	141713	SIRE
140	9063	SIRE
141	137	SIRE
142	136923	SIRE
143	137	SIRE
144	137	SIRE
145	140	SIRE
147	350	SIRE
148	1306	SIRE
149	130572	SIRE
150	149	SIRE
151	1116	SIRE
152	154	SIRE
153	170783	SIRE
154	142135	SIRE
155	376	SIRE
156	330	SIRE
157	1022	SIRE
159	158	SIRE
161	125854	SIRE
162	125854	SIRE
163	162	SIRE
164	744	SIRE
165	164	SIRE
166	1061	SIRE
167	130491	SIRE
168	126194	SIRE
169	170692	SIRE
170	190822	SIRE
171	170692	SIRE
172	167124	SIRE
173	167124	SIRE
174	101037	SIRE
175	183534	SIRE
176	183535	SIRE
177	183534	SIRE
178	183534	SIRE
179	101037	SIRE
180	183535	SIRE
181	183535	SIRE
182	183535	SIRE
183	183534	SIRE
184	137227	SIRE
185	190099	SIRE
186	183439	SIRE
187	190062	SIRE
188	183105	SIRE
189	186	SIRE
190	159908	SIRE
191	159908	SIRE
193	192	SIRE
194	868	SIRE
195	196	SIRE
196	207	SIRE
197	866	SIRE
198	205	SIRE
200	207	SIRE
201	868	SIRE
202	173908	SIRE
204	867	SIRE
205	201	SIRE
206	869	SIRE
207	173903	SIRE
208	10340	SIRE
209	206	SIRE
210	866	SIRE
211	970	SIRE
212	969	SIRE
213	1117	SIRE
214	173850	SIRE
215	217	SIRE
216	10292	SIRE
219	218	SIRE
220	10204	SIRE
221	175961	SIRE
223	147629	SIRE
224	147629	SIRE
225	226	SIRE
226	170441	SIRE
227	170441	SIRE
228	227	SIRE
229	171434	SIRE
230	171434	SIRE
231	41375	SIRE
232	1047	SIRE
233	1047	SIRE
234	186965	SIRE
235	820	SIRE
236	111	SIRE
237	88	SIRE
238	88	SIRE
239	236	SIRE
241	1074	SIRE
242	954	SIRE
243	954	SIRE
244	130936	SIRE
245	954	SIRE
246	242	SIRE
