1	MCO
2	PER
3	PER
4	PER
5	PER
6	PER
7	PER
8	PER
9	PER
10	PER
11	PER
12	SPH
13	MCO
14	MCO
15	OSH
16	MCO
17	ABY
18	EXO
19	NFO
20	NFO
21	SBI
22	SBI
23	SBI
24	MCO
25	MCO
26	MCO
27	MCO
28	PER
29	PER
30	PER
31	PER
32	MCO
33	MCO
34	MCO
35	MCO
36	MCO
37	MCO
38	MCO
39	BUR
40	BUR
41	BRI
42	NFO
43	SBI
44	SBI
45	PER
46	PER
47	NFO
48	NFO
49	SBI
50	SBI
51	SBI
52	SBI
53	EXO
54	RUS
55	RUS
56	PER
57	NFO
58	NFO
59	SBI
60	SBI
61	SBI
62	SBI
63	SBI
64	SBI
65	SBI
66	SBI
67	SBI
68	SBI
69	PER
70	PER
71	NFO
72	NFO
73	NFO
74	MCO
75	MCO
76	MCO
77	MCO
78	MCO
79	MCO
80	MCO
81	MCO
82	MCO
83	MCO
84	MCO
85	MCO
86	MCO
87	MCO
88	MCO
89	MCO
90	MCO
91	MCO
92	MCO
93	MCO
94	MCO
95	MCO
96	MCO
97	MCO
98	MCO
99	MCO
100	MCO
101	MCO
102	MCO
103	MCO
104	MCO
105	MCO
106	MCO
107	MCO
108	MCO
109	BRI
110	BRI
111	MCO
112	ABY
113	SIA
114	SIA
115	SIA
116	SIA
117	NFO
118	NFO
119	NFO
120	BAL
121	BAL
122	BAL
123	ABY
124	ABY
125	SOM
126	ABY
127	RAG
128	RAG
129	NFO
130	NFO
131	NFO
132	NFO
133	SBI
134	MCO
135	OSH
136	CRX
137	NFO
138	NFO
139	NFO
140	NFO
141	NFO
142	NFO
143	NFO
144	NFO
145	NFO
146	SIA
147	RUS
148	PER
149	PER
150	PER
151	MCO
152	MCO
153	MCO
154	MCO
155	BRI
156	RAG
157	NFO
158	NFO
159	NFO
160	BUR
161	BUR
162	BUR
163	BUR
164	BUR
165	BUR
166	ABY
167	ABY
168	NFO
169	NFO
170	NFO
171	NFO
172	NFO
173	NFO
174	DRX
175	CRX
176	CRX
177	CRX
178	CRX
179	DRX
180	CRX
181	CRX
182	CRX
183	NFO
184	PER
185	PER
186	PER
187	PER
188	PER
189	PER
190	NFO
191	NFO
192	PER
193	PER
194	PER
195	EXO
196	EXO
197	PER
198	PER
199	EXO
200	EXO
201	PER
202	PER
203	EXO
204	PER
205	PER
206	PER
207	EXO
208	PER
209	PER
210	PER
211	NFO
212	NFO
213	MCO
214	SIA
215	SBI
216	SBI
217	SBI
218	OSH
219	OSH
220	SBI
221	KOR
222	SOM
223	SOM
224	SOM
225	SIB
226	SIB
227	SIB
228	SIB
229	SIB
230	SIB
231	MCO
232	KBL
233	KBL
234	SBI
235	MCO
236	MCO
237	MCO
238	MCO
239	MCO
240	NFO
241	NFO
242	NFO
243	NFO
244	NFO
245	NFO
246	NFO
247	NFO
248	NFO
249	BAL
250	BAL
251	NFO
252	NFO
253	NFO
254	NFO
255	SBI
256	SBI
257	PER
258	PER
259	PER
260	PER
261	PER
262	PER
263	SBI
264	SBI
265	PER
266	PER
267	PER
268	PER
269	OSH
270	SIA
271	SIA
272	SIA
273	NFO
274	NFO
275	BUR
276	SIA
277	SIA
278	OSH
279	SIA
280	OSH
281	SIA
282	NFO
283	NFO
284	NFO
285	NFO
286	NFO
287	NFO
288	NFO
289	NFO
290	NFO
291	NFO
292	EXO
293	EXO
294	EXO
295	EXO
296	EXO
297	EXO
298	SBI
299	SBI
300	BUR
301	MCO
302	SBI
303	BRI
304	SBI
305	SIA
306	BAL
307	SIA
308	BAL
309	SIA
310	SIA
311	SIA
312	SIA
313	SIA
314	SIA
315	SIA
316	SIA
317	SBI
318	EUR
319	EUR
320	PER
321	PER
322	SBI
323	OSH
324	RAG
325	RAG
326	RAG
327	RAG
328	RAG
329	RAG
330	RAG
331	PER
332	BEN
333	BEN
334	PER
335	PER
336	PER
337	PER
338	PER
339	PER
340	PER
341	PER
342	PER
343	PER
344	PER
345	RAG
346	RAG
347	SBI
348	BUR
349	SBI
350	RUS
351	SBI
352	SBI
353	SBI
354	NFO
355	MCO
356	NFO
357	NFO
358	NFO
359	NFO
360	NFO
